,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
141,670454494,False,finalized,3,2/10/15 2:01,England,1.0,31-Dec-43,1.0,Multiracial,1.0,Quaker,1.0,Straight,1.0,1983,1.0,Best Actor,http://www.nndb.com/people/519/000024447/,,,Gandhi,Ben Kingsley,,,,
148,670454501,False,finalized,3,2/10/15 4:06,England,1.0,29-Apr-57,1.0,White,1.0,Na,1.0,Straight,1.0,1990,1.0,Best Actor,http://www.nndb.com/people/788/000022722/,,,My Left Foot,Daniel Day-Lewis,,,,
149,670454502,False,finalized,3,2/10/15 1:59,England,1.0,19-Sep-48,1.0,White,1.0,Na,1.0,Straight,1.0,1991,1.0,Best Actor,http://www.nndb.com/people/594/000023525/,,,Reversal of Fortune,Jeremy Irons,,,,
150,670454503,False,finalized,3,2/10/15 3:51,Wales,1.0,31-Dec-37,1.0,White,1.0,Na,1.0,Straight,1.0,1992,1.0,Best Actor,http://www.nndb.com/people/005/000023933/,,,Silence of the Lambs,Anthony Hopkins,,,,
155,670454508,False,finalized,3,2/10/15 2:08,Australia,1.0,6-Jul-51,1.0,White,1.0,Na,1.0,Straight,1.0,1997,1.0,Best Actor,http://www.nndb.com/people/126/000025051/,,,Shine,Geoffrey Rush,,,,
157,670454510,False,finalized,3,2/10/15 1:59,Italy,1.0,27-Oct-52,1.0,White,1.0,Na,1.0,Straight,1.0,1999,1.0,Best Actor,http://www.nndb.com/people/259/000025184/,,,Life is Beautiful,Roberto Benigni,,,,
159,670454512,False,finalized,3,2/10/15 4:07,New Zealand,1.0,7-Apr-64,1.0,White,1.0,Na,0.6562,Straight,1.0,2001,1.0,Best Actor,http://www.nndb.com/people/782/000022716/,,,Gladiator,Russell Crowe,,,,
166,670454519,False,finalized,3,2/10/15 2:07,England,1.0,29-Apr-57,1.0,White,1.0,Na,1.0,Straight,1.0,2008,1.0,Best Actor,http://www.nndb.com/people/788/000022722/,,,There Will Be Blood,Daniel Day-Lewis,,,,
169,670454522,False,finalized,3,2/10/15 2:19,England,1.0,10-Sep-60,1.0,White,1.0,Na,1.0,Straight,1.0,2011,1.0,Best Actor,http://www.nndb.com/people/813/000043684/,,,The King's Speech,Colin Firth,,,,
170,670454523,False,finalized,3,2/10/15 3:53,France,1.0,19-Jun-72,1.0,White,1.0,Na,1.0,Straight,1.0,2012,1.0,Best Actor,http://www.nndb.com/people/303/000281457/,,,The Artist,Jean Dujardin,,,,
171,670454524,False,finalized,3,2/10/15 2:00,England,1.0,29-Apr-57,1.0,White,1.0,Na,1.0,Straight,1.0,2013,1.0,Best Actor,http://www.nndb.com/people/788/000022722/,,,Lincoln,Daniel Day-Lewis,,,,
174,670454527,False,finalized,3,2/10/15 1:48,Austria,1.0,22-Mar-1896,1.0,White,1.0,Na,1.0,Straight,1.0,1938,1.0,Best Supporting Actor,http://www.nndb.com/people/115/000063923/,,,The Life of Emile Zola,Joseph Schildkraut,,,,
178,670454531,False,finalized,3,2/10/15 4:07,England,1.0,27-Jul-1880,1.0,White,1.0,Na,1.0,Straight,1.0,1942,1.0,Best Supporting Actor,http://www.nndb.com/people/689/000031596/,,,How Green Was My Valley,Donald Crisp,,,,
181,670454534,False,finalized,3,2/10/15 2:16,Ireland,1.0,10-Mar-1888,1.0,White,1.0,Protestant,1.0,Na,1.0,1945,1.0,Best Supporting Actor,http://www.nndb.com/people/126/000063934/,,,Going My Way,Barry Fitzgerald,,,,
183,670454536,False,finalized,3,2/10/15 2:04,Canada,1.0,14-Jan-14,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best Supporting Actor,http://www.nndb.com/people/124/000063932/,,,The Best Years of Our Lives,Harold Russell,,,,
184,670454537,False,finalized,3,2/10/15 2:07,Wales,1.0,26-Sep-1875,0.6667,White,1.0,Na,1.0,Na,1.0,1948,1.0,Best Supporting Actor,http://www.nndb.com/people/123/000063931/,,,Miracle on 34th Street,Edmund Gwenn,,,,
185,670454538,False,finalized,3,2/10/15 2:05,Canada,1.0,6-Apr-1884,1.0,White,1.0,Na,1.0,Straight,1.0,1949,1.0,Best Supporting Actor,http://www.nndb.com/people/122/000063930/,,,The Treasure of the Sierra Madre,Walter Huston,,,,
187,670454540,False,finalized,3,2/10/15 2:08,Russia,1.0,3-Jul-06,1.0,White,1.0,Na,1.0,Straight,1.0,1951,1.0,Best Supporting Actor,http://www.nndb.com/people/728/000043599/,,,All About Eve,George Sanders,,,,
189,670454542,False,finalized,3,2/10/15 1:51,Mexico,1.0,21-Apr-15,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,1953,1.0,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,,,Viva Zapata!,Anthony Quinn,,,,
193,670454546,False,finalized,3,2/10/15 3:58,Mexico,1.0,21-Apr-15,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,1957,1.0,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,,,Lust for Life,Anthony Quinn,,,,
196,670454549,False,finalized,3,2/10/15 2:03,Wales,1.0,30-May-12,1.0,White,1.0,Na,1.0,Na,1.0,1960,1.0,Best Supporting Actor,http://www.nndb.com/people/120/000063928/,,,Ben-Hur,Hugh Griffith,,,,
197,670454550,False,finalized,3,2/10/15 2:15,England,1.0,16-Apr-21,1.0,White,1.0,Na,1.0,Straight,1.0,1961,1.0,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,,,Spartacus,Peter Ustinov,,,,
201,670454554,False,finalized,3,2/10/15 1:51,England,1.0,16-Apr-21,1.0,White,1.0,Na,1.0,Straight,1.0,1965,1.0,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,,,Topkapi,Peter Ustinov,,,,
207,670454560,False,finalized,3,2/10/15 1:48,England,1.0,22-Feb-08,1.0,White,1.0,Na,1.0,Straight,1.0,1971,1.0,Best Supporting Actor,http://www.nndb.com/people/701/000030611/,,,Ryan's Daughter,John Mills,,,,
210,670454563,False,finalized,3,2/10/15 2:07,Romania,1.0,22-Sep-1902,1.0,White,1.0,Na,1.0,Straight,0.6667,1974,1.0,Best Supporting Actor,http://www.nndb.com/people/686/000042560/,,,The Paper Chase,John Houseman,,,,
218,670454571,False,finalized,3,2/10/15 2:07,England,0.6667,14-Apr-04,1.0,White,1.0,Na,1.0,Gay,1.0,1982,1.0,Best Supporting Actor,http://www.nndb.com/people/589/000033490/,,,Arthur,John Gielgud,,,,
221,670454574,False,finalized,3,2/10/15 1:51,Cambodia,1.0,22-Mar-40,1.0,Asian,1.0,Buddhist,1.0,Straight,1.0,1985,1.0,Best Supporting Actor,http://www.nndb.com/people/093/000063901/,,,The Killing Fields,Haing S. Ngor,,,,
223,670454576,False,finalized,3,2/10/15 1:55,England,1.0,14-Mar-33,1.0,White,1.0,Na,1.0,Straight,1.0,1987,1.0,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,,,Hannah and Her Sisters,Michael Caine,,,,
224,670454577,False,finalized,3,2/10/15 3:50,Scotland,1.0,25-Aug-30,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1988,1.0,Best Supporting Actor,http://www.nndb.com/people/881/000022815/,,,The Untouchables,Sean Connery,,,,
